"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.223107119071529","2.05625942509703","0.186968480153468","17.0617062782751","21.183396649718","-3.85859789160849","-1.65589073844834","-5.8750137905858","-0.418843737439976","6.16161902409995","12.9130837508843","6.81422431580961","27.1385072361786","-6.8287271729666","-13.9016584230434","17.1280575539568","7.90491984521834","-4.74304336926546","-8.91559037641447","9.08677166142101","-18.0111087374493","0.687830687830688","-0.424770847306058","7.81257303108204","19.1454864154251","-12.4156931893322","8.29852858504183","8.97999427498489","-0.971204144354778","0.923412225135472","5.25358836617616","4.2446335956983","","",
"Africa Eastern and Southern","AFE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","1.20053888660928","0.905606066991458","0.487449669041924","0.292577374754648","1.31841175283943","0.426509127850596","0.577182503642848","0.0704555262371042","0.168910716575305","-0.0228251154073972","0.333036471180875","0.229701613697453","0.379548997089843","0.0537773607859219","0.435995680896531","0.0722545156009018","0.291875303915775","0.156769393088639","0.281758628024941","0.204383869986542","0.0374728863269072","0.273109916240432","0.172735848017821","0.23896943881196","0.510635486994176","1.01523085380054","0.797447253410451","2.09306708469567","1.58955401083125","2.44742484666854","1.55812319159929","4.8377686452708","2.50363689123549","2.48897215587234","1.86659607476983","2.06494492575912","1.27159863090311","2.47968449986798","3.24391458375863","2.63668363103787","1.66784433056384","1.88709798515521","2.59587467433609","2.23711136149138","2.81642530198046","3.13842839642362","1.94042867630824","1.00629245964732","1.52032879114817","1.45645738922258","",
"Afghanistan","AFG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.0131512243609448","0.0245752714393039","0.00940111467749321","0.0155769236960059","","","0.00156521738449906","-0.00812641060285658","","0.0324504958728158","0.247135743279599","0.005174215982803","","","","","","","","","","","","","","","","","","","","","1.23299102251609","1.28001876304193","3.57581613520808","4.36453524429585","3.41400444390947","1.93570303554968","0.455360078332881","0.451888842930533","1.20311722800728","0.293024934195091","0.285441075824333","0.239801324400345","0.209664812936706","0.884000919857522","0.516606367688591","0.274796599141582","0.661572001890286","0.124495943884077","",
"Africa Western and Central","AFW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","1.56294050591088","2.09535912889598","1.86260666856411","1.86910940334504","1.06968661615394","1.57380226108476","0.866238941228135","0.959633107402493","0.875995340745168","0.863457089102943","-0.275515678208717","0.431018430021271","0.481129475059857","0.569283815917945","0.302853666139737","0.785831261253996","0.191695277411282","0.945947687547532","0.631293450977287","1.89162087970194","0.700627719067367","0.710418740216762","1.04255465254493","1.84455141058002","2.76699412473757","0.874800932191441","1.05185009170895","1.11552935292008","1.32073272033984","1.56208653305306","1.82339267692679","2.17838712630817","2.49112841673373","2.5710813407861","1.8314113091392","2.9874794373311","2.33943038840533","2.82138054591126","2.87919707995616","3.58037585242045","3.20729767477305","3.65147330336694","2.87431669065166","2.33396948873401","1.94882457804032","2.05609711521066","2.01823274955857","2.5829986683863","2.09005410476357","2.1118686625104","",
"Angola","AGO","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","0.630595481283268","0.883175194309949","2.08522975031672","1.80257733214432","1.09434687207687","3.67792344586514","3.30658213119967","1.47108284695703","1.49285771244182","1.95926252049152","-2.97963493141232","","","","5.02285798554785","8.49502107849993","2.39882907457034","5.38137613919516","17.1205656154629","40.1671622037156","9.6238239763664","24.0091170615715","11.4061900735364","20.0810136410868","9.32924138405768","-3.52665547915197","-0.0720010214346084","-1.36876162792796","1.89631505074079","3.13666213316837","-3.85111046361424","-2.70487471739953","-1.14376833410123","-5.20812271844135","2.51009500896225","8.63060523378897","-0.177522530030449","-6.05720920606598","-6.36987727292231","-4.58354677886438","",
"Albania","ALB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","3.06666159864896","4.89321210624299","2.81772280812469","2.92548596657615","2.81594061771928","2.1031528051092","1.76789579262462","1.28264133419298","4.10877595525929","5.28543275433979","3.10482707446756","3.17270817814522","4.75017450889019","3.25976919303765","3.65485220012029","6.10898006747451","9.68207039380729","11.170640892823","9.13813414575857","8.13533347464313","7.45135722825396","9.81628764801144","8.6930387219853","8.69053621980377","8.80509197849022","7.85547051565549","7.94635135089316","7.7987221644757","",
"Andorra","AND","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.46765104548939","-0.082709505777391","0.264742722220249","-0.800383313648107","-2.87428100467054","1.40020573480622","0.073177701486306","0.65123422756896","0.570070551278862","0.0972953185397279","-0.494220197315142","1.77694646351758","2.93874962730042","1.52930018303198","1.58157630766919","0.479355082114347","0.649197883441197","0.0259159079725361","0.38204522183898","0.281025713854557","0.493264216799419","0.487536750516615","0.739301847677076","0.903331591144536","0.973778087458083","0.055117593517375","0.59709174058697","1.35687340422565","1.49836889383599","0.4271413843823","0.47136311889147","1.11632354176182","0.768172334718513","1.64666642056846","2.02693500097569","3.55183892161011","4.53296454273865","4.57259472651249","3.93969800876351","3.88337206070133","3.03948586625639","1.79922973400276","1.86300083168279","1.49102166062517","1.10971138643983","1.04731445409301","1.36407417903316","1.23263398848694","1.25211609518189","1.27507011094307","",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","0.108351028072642","0.257273417071533","0.451274584371974","0.164536830325616","0.206818389048822","0.22395138271941","-0.0343377746365328","0.203892014116107","0.106393607881322","0.407195240980733","-0.544187526835552","0.324685539335671","0.128404884366882","0.52070706926589","0.0935487852947746","-0.228435309603761","0.0503179637301319","0.239162943469002","0.72147194906954","0.105319789259975","0.608195467069962","0.408474866706161","0.294815985875101","0.340485312002994","-1.16683578609984","-0.485281532912816","1.14589216998935","0.0867813662286139","3.42266271334161","6.76715211324682","6.03481603928631","5.76543753210343","5.5004397184535","1.6048746086738","0.447367363952641","3.03559489221797","2.03957474831642","2.55389515953864","2.50313391091523","2.74634535450358","2.38761932370865","2.69007303287652","2.68518545926166","2.45971482010468","3.30463848379386","",
"Argentina","ARG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.284224297397444","0.377464477473511","0.206489502469194","0.190792478260042","0.0247388145324033","0.106009598269524","0.478175476645854","0.253605959289195","0.430419501184104","0.297462920183783","0.880955110053282","1.06384544018918","0.269252481027723","0.177920358938206","0.338845892416111","1.03939676921859","0.51742270994039","-0.0171007571834998","0.908825708058126","1.34139040897869","1.2988816648031","1.28557885422783","1.93671240172489","1.17980281165114","1.411953029158","2.17392758974997","2.55320340608332","3.12787793868196","2.43876896154487","8.46058217133806","3.66579059535379","0.806164134759348","2.19895819502207","1.29481086883944","2.5050175164097","2.64935441452167","2.38106854489628","2.25129423568361","2.68990096507093","1.20643922647566","2.67516171886537","2.04464008003071","2.80667189982932","1.77920553648531","0.962406650325519","1.97713461784426","0.584749931723909","1.78936428458758","2.232532212602","1.47434942911914","",
